id,question,option1,option2,option3,option4,correctOption
1,"Varför är fysisk aktivitet viktig?,"Det påverkar bara den fysiska hälsan","Det är inte så viktigt","Det förbättrar det allmänna välbefinnandet","Det spelar bara roll för idrottare","Det förbättrar det allmänna välbefinnandet"
2,"Vilket av följande är ett exempel på organiserad idrott?,"Fotboll i parken","En vandring i skogen","Fotboll i en klubb","Skidåkning i skogen","Fotboll i en klubb"
3,"Vilket av följande är ett exempel på spontanidrott?,"Fotboll i parken","En vandring i skogen","Fotboll i en klubb","Skidåkning i skogen","Fotboll i parken"
4,"Vilket av följande beskriver det biostatiska synsättet på hälsa?,"Hälsa är ett tillstånd av fullständigt välbefinnande","Hälsa är frånvaro av sjukdom","Hälsa bestäms av sociala relationer","Hälsa är förmågan att uppnå livsmål","Hälsa är frånvaro av sjukdom"
5,"Vilket av följande beskriver det holistiska synsättet på hälsa?,"Hälsa är ett tillstånd av fullständigt välbefinnande","Hälsa är frånvaro av sjukdom","Hälsa bestäms av sociala relationer","Hälsa är förmågan att uppnå livsmål","Hälsa är ett tillstånd av fullständigt välbefinnande"
6,"Vad är en viktig kritik mot det biostatiska synsättet på hälsa?,"Det fokuserar för mycket på sociala faktorer","Det tar bara hänsyn till frånvaro av sjukdom","Det tar inte hänsyn till psykisk hälsa","Det är för fokuserat på idrottare","Det tar bara hänsyn till frånvaro av sjukdom"
7,"Vad är en viktig kritik mot det holistiska synsättet på hälsa?,"Det är för fokuserat på fysisk hälsa","Det är för snävt i sin definition","Det kan vara för brett och svårt att mäta","Det ignorerar sociala relationer","Det kan vara för brett och svårt att mäta"
8,"Vilken av följande faktorer påverkar INTE hälsan?,"Genetik","Livsstil","Miljö","Skostorlek","Skostorlek"
9,"Vilken av följande faktorer som påverkar hälsan kan vi påverka?,"Genetik","Ålder","Livsstil","Familjehistoria","Livsstil"
10,"Varför är det fördelaktigt att styrketräna?,"Det förbättrar bara muskelstorleken","Det är dåligt för hjärtat","Det förbättrar den allmänna fysiska hälsan och styrkan","Det minskar bentätheten","Det förbättrar den allmänna fysiska hälsan och styrkan"
11,"Varför är det viktigt att styrketräna hela kroppen?,"Att bara fokusera på överkroppen","För att säkerställa en balanserad utveckling och minska risken för skador","Att försumma benen","Att bara träna kärnmusklerna","För att säkerställa en balanserad utveckling och minska risken för skador"
12,"Vad händer i kroppen när en muskel utsätts för upprepad stress?,"Muskeln blir svagare","Muskeln anpassar sig och blir starkare","Muskeln krymper","Muskeln omvandlas till fett","Muskeln anpassar sig och blir starkare"
13,"Vad innebär god koordination?,"Bara muskelstyrka","Förmågan att utföra rörelser smidigt och effektivt","Bara balans","Att ignorera dina sinnen","Förmågan att utföra rörelser smidigt och effektivt"
14,"Vad är dynamisk styrka?,"Styrka utan rörelse","Styrka med rörelse","Maximal styrka","Statisk styrka","Styrka med rörelse"
15,"Vilket av följande är ett exempel på en dynamisk övning?,"Plankan","Väggsittning","Bicepscurl","Hålla en vikt på plats","Bicepscurl"
16,"Vad är statisk styrka?,"Styrka med rörelse","Styrka utan rörelse","Explosiv styrka","Uthållighetsstyrka","Styrka utan rörelse"
17,"Vilket av följande är ett exempel på en statisk övning?,"Armhävning","Knäböj","Plankan","Löpning","Plankan"
18,"Vad innebär det att träna styrka med extern belastning?,"Att bara använda kroppsvikt","Att använda extra vikter eller motstånd","Att ignorera korrekt form","Att träna för uthållighet","Att använda extra vikter eller motstånd"
19,"Vad är viktigt att tänka på när man styrketränar för att undvika skador?,"Att ignorera uppvärmning","Att använda felaktig form","Att lyssna på din kropp och använda korrekt teknik","Att lyfta så mycket vikt som möjligt omedelbart","Att lyssna på din kropp och använda korrekt teknik"
20,"Vad innebär det att ha bra uthållighet?,"Att kunna lyfta tunga vikter","Att kunna utföra en aktivitet under lång tid","Att ha stora muskler","Att kunna sprinta snabbt","Att kunna utföra en aktivitet under lång tid"
21,"Vad behöver musklerna för att arbeta under lång tid?,"Bara glukos","Syre och näringsämnen","Bara vatten","Bara protein","Syre och näringsämnen"
22,"Vad är syreupptagningsförmåga?,"Förmågan att hålla andan","Kroppens förmåga att leverera syre till cellerna","Mängden luft du kan andas in","Hastigheten på muskelkontraktion","Kroppens förmåga att leverera syre till cellerna"
23,"Vad bestämmer syreupptagningsförmågan?,"Bara lungstorlek","Genetik,träning och kardiovaskulär hälsa","Bara muskelmassa","Bara ålder","Genetik,träning och kardiovaskulär hälsa"
24,"Hur kan du träna din syreupptagningsförmåga?,"Bara genom att lyfta vikter","Genom uthållighetsövningar som löpning och simning","Bara genom att stretcha","Bara genom att vila","Genom uthållighetsövningar som löpning och simning"
25,"Vad är lågintensiv träning?,"Träning med maximal ansträngning","Träning med låg ansträngning där du fortfarande kan prata","Träning som bara involverar vikter","Träning som gör dig andfådd","Träning med låg ansträngning där du fortfarande kan prata"
26,"Vad är högintensiv träning?,"Träning med låg ansträngning","Träning med maximal ansträngning där det är svårt att prata","Träning som bara involverar stretching","Träning som inte höjer din puls","Träning med maximal ansträngning där det är svårt att prata"
27,"Vad är viktigt att tänka på när man börjar träna?,"Att ignorera uppvärmning","Att börja långsamt och gradvis öka intensiteten","Att börja med hög intensitet omedelbart","Att ignorera vilodagar","Att börja långsamt och gradvis öka intensiteten"
28,"Vad är maxpuls?,"Vilo-pulsen","Det maximala antalet gånger ditt hjärta kan slå per minut","Medelpulsen","Minimipulsen","Det maximala antalet gånger ditt hjärta kan slå per minut"
29,"Vad är intervallträning?,"Kontinuerlig träning i ett jämnt tempo","Träning som växlar mellan högintensivt arbete och vila","Träning som bara involverar stretching","Träning utan viloperioder","Träning som växlar mellan högintensivt arbete och vila"
30,"Vad är överkompensation?,"Att bli svagare efter träning","Kroppen blir starkare efter träning och återhämtning","Att ignorera vila","Att hoppa över träningspass","Kroppen blir starkare efter träning och återhämtning"
31,"Vilka är hälsofördelarna med regelbunden fysisk aktivitet?,"Bara viktminskning","Förbättrad kardiovaskulär hälsa,styrka och allmänt välbefinnande","Bara muskeltillväxt","Bara ökad flexibilitet","Förbättrad kardiovaskulär hälsa,styrka och allmänt välbefinnande"
