id,question,option1,option2,option3,option4,correctOption
1,"Vad är elektrisk laddning?","Partiklar som attraherar varandra","En energikälla","En egenskap hos elektroner och protoner","En sorts ledare","En egenskap hos elektroner och protoner"
2,"Vad betyder det när något repellerar?","Drar sig mot något","Stöter bort något","Kräver energi","Leder elektricitet","Stöter bort något"
3,"Vad betyder attrahera?","Stöter bort något","Förstör något","Drar sig mot något","Isolerar elektricitet","Drar sig mot något"
4,"Vad är en blixt?","Ett ljusfenomen skapat av positiva laddningar","Elektricitet som rör sig från ett moln till marken","En form av värmeenergi","En explosion i luften","Elektricitet som rör sig från ett moln till marken"
5,"Vad är en åskledare och hur fungerar den?","En enhet som skyddar mot översvämning","En metallspets som leder åsknedslag till marken","En isolator","En del av en elektrisk krets","En metallspets som leder åsknedslag till marken"
6,"Vad mäts spänning i?","Ampere","Volt","Ohm","Newton","Volt"
7,"Vad är elektrisk ström?","Elektroner som rör sig genom en ledare","Ljus som produceras i en krets","En form av isolator","Ett mått på energi","Elektroner som rör sig genom en ledare"
8,"Vad är en ledare?","Material som leder elektricitet","Material som isolerar elektricitet","En sorts glödtråd","En resistor","Material som leder elektricitet"
9,"Vad är en isolator?","Material som leder elektricitet","Material som hindrar elektricitet från att passera","En sorts elektrisk krets","En strömkälla","Material som hindrar elektricitet från att passera"
10,"Vad är en glödtråd?","En tråd som leder ström utan motstånd","En tunn tråd som lyser när den blir uppvärmd","En sorts batteri","En del av en åskledare","En tunn tråd som lyser när den blir uppvärmd"
11,"Vad är resistans?","En krets","Motståndet mot elektrisk ström","En typ av spänning","En sorts isolator","Motståndet mot elektrisk ström"
12,"Vad används en resistor till?","För att öka strömmen","För att minska strömmen","För att mäta spänning","För att skapa elektricitet","För att minska strömmen"
13,"Vad är en fast resistor?","En resistor med bestämd resistans","En resistor som kan justeras","En isolator","En ledare","En resistor med bestämd resistans"
14,"Vad är en variabel resistor?","En resistor med fast resistans","En resistor som kan justeras","En sorts batteri","En spänningskälla","En resistor som kan justeras"
15,"Vilka delar består en atom av och vilken laddning har delarna?","Protoner (negativ), Neutroner (neutral), Elektroner (positiv)","Protoner (positiv), Neutroner (neutral), Elektroner (negativ)","Neutroner (positiv), Protoner (neutral), Elektroner (negativ)","Elektroner (positiv), Protoner (neutral), Neutroner (negativ)","Protoner (positiv), Neutroner (neutral), Elektroner (negativ)"
16,"Vilken laddning får ett föremål med ett överskott av elektroner?","Positiv","Negativ","Neutral","Inget","Negativ"
17,"Vilken laddning får ett föremål med ett underskott av elektroner?","Positiv","Negativ","Neutral","Inget","Positiv"
18,"Varför är en atom elektriskt neutral?","För att protoner och neutroner tar ut varandra","För att protoner och elektroner är lika många","För att neutroner har samma massa som protoner","För att elektroner inte har någon laddning","För att protoner och elektroner är lika många"
19,"Vad händer när två föremål med samma laddning kommer nära varandra?","De attraherar varandra","De repellerar varandra","De blir neutrala","Inget händer","De repellerar varandra"
20,"Vad händer när två föremål med olika laddning kommer nära varandra?","De attraherar varandra","De repellerar varandra","De blir neutrala","Inget händer","De attraherar varandra"
21,"Varför ska du undvika öppet vatten under åskväder?","Vatten leder elektricitet och gör dig till en hög punkt","Åskan dras till metaller","Det är en säker plats","Det påverkar inte åskan","Vatten leder elektricitet och gör dig till en hög punkt"
22,"Varför är bilen en säker plats under åskväder?","På grund av gummihjulen","På grund av bilens metalldelar som fungerar som en skyddande bur","Blixten kan inte slå ner på marken","För att bilen är jordad","På grund av bilens metalldelar som fungerar som en skyddande bur"
23,"Hur uppkommer en åskblixt?","När två moln kolliderar","När elektroner rör sig mellan olika laddade områden i ett moln eller till marken","När luften värms upp","När solen går i moln","När elektroner rör sig mellan olika laddade områden i ett moln eller till marken"
24,"Vad mäts resistans i?","Volt","Ampere","Ohm","Watt","Ohm"
25,"Varför används volfram i halogenlampor?","För att det är billigt","För att det har hög resistans och tål höga temperaturer","För att det leder ström bäst","För att det är ett isolerande material","För att det har hög resistans och tål höga temperaturer"
26,"Vad är skillnaden mellan elektrisk spänning och elektrisk ström?","Spänning är mängden ström","Ström är en form av spänning","Spänning är kraften som driver strömmen medan ström är flödet av elektroner","De är samma sak","Spänning är kraften som driver strömmen medan ström är flödet av elektroner"
27,"Vad händer när du skruvar ur en lampa i en seriekopplad adventsljusstake?","Inget händer","Alla lampor lyser starkare","Alla lampor slocknar","Endast en lampa påverkas","Alla lampor slocknar"
28,"Hur ser du skillnaden mellan seriekoppling och parallellkoppling?","Seriekoppling har mer lampor","I parallellkoppling slocknar inte alla lampor om en går sönder","Seriekoppling har en krets","Parallellkoppling kräver två batterier","I parallellkoppling slocknar inte alla lampor om en går sönder"
29,"Hur fungerar en halogenlampa?","Den har en glödtråd av koppar","Den har en glödtråd av volfram som värms upp och börjar glöda","Den använder batterier för att lysa","Den har ingen glödtråd","Den har en glödtråd av volfram som värms upp och börjar glöda"
30,"Vilket material har störst resistans, koppar eller järn?","Koppar","Järn","Båda har samma","Inget av dem","Järn"
31,"Vilka viktiga upptäckter gjorde Benjamin Franklin och Thomas Edison inom elektricitet?","Franklin upptäckte spänning och Edison uppfann resistorn","Franklin undersökte åska och Edison skapade glödlampan","Båda utvecklade seriekopplingar","Franklin byggde den första datorn och Edison skapade batterier","Franklin undersökte åska och Edison skapade glödlampan"
32,"Vad är en elektromagnet och hur fungerar den?","En magnet av järn","En magnet som alstras av elektrisk ström genom en spole","En permanent magnet","En glödtråd som lyser","En magnet som alstras av elektrisk ström genom en spole"
33,"Hur beräknar man elektrisk effekt (Watt)?","Effekt = Spänning x Ström","Effekt = Ström / Spänning","Effekt = Resistans x Ström","Effekt = Spänning / Resistans","Effekt = Spänning x Ström"
34,"Vad är en säkring, och varför är den viktig i elektriska kretsar?","En anordning som lagrar ström","En komponent som skyddar kretsen från överbelastning","En form av isolator","En typ av batteri","En komponent som skyddar kretsen från överbelastning"
35,"Vad händer om du gnuggar en ballong mot din tröja och sedan håller den nära en vägg?","Ingenting händer","Ballongen repellerar väggen","Ballongen attraheras och fastnar på väggen","Väggen lyser upp","Ballongen attraheras och fastnar på väggen"
