id,question,option1,option2,option3,option4,correctOption
1,"Vad består en molekyl av?","Två eller fler atomer","Ett grundämne","Bara syre","En proton och en neutron","Två eller fler atomer"
2,"Vad är ett grundämne?","Ett ämne med bara en sorts atomer","En blandning av olika ämnen","Ett ämne som bara finns i gasform","En atomkärna","Ett ämne med bara en sorts atomer"
3,"Vilken partikel avgör vilket grundämne en atom är?","Protonen","Neutronen","Elektronen","Molekylen","Protonen"
4,"Vad är ett tecken på att en kemisk reaktion har skett?","Gasbildning","Färgförändring","Temperaturändring","Alla ovanstående","Alla ovanstående"
5,"Vad bildas vid en förbränningsreaktion?","Koldioxid och vatten","Syre och väte","Ammoniak","Salt och vatten","Koldioxid och vatten"
6,"Vilket påstående stämmer om kemiska reaktioner?","Atomerna byter plats och bildar nya ämnen","Atomer försvinner","Energi skapas","Ämnen förblir oförändrade","Atomerna byter plats och bildar nya ämnen"
7,"Vilka är de tre vanligaste aggregationsformerna?","Fast, flytande, gas","Syra, bas, neutral","Plasma, fast, ånga","Gas, syra, metall","Fast, flytande, gas"
8,"Vad kallas övergången från flytande till gas?","Avdunstning","Kondensering","Frysning","Smältning","Avdunstning"
9,"Vad händer med partiklarna när ett ämne smälter?","De rör sig mer fritt","De blir större","De krymper","De försvinner","De rör sig mer fritt"
10,"Vad är en lösning?","En homogen blandning","En blandning som måste skakas","En blandning av gaser","En blandning som alltid innehåller vatten","En homogen blandning"
11,"Vilken metod används för att separera salt från vatten?","Avdunstning","Filtrering","Sedimentering","Magnetism","Avdunstning"
12,"Vilken separationsmetod används för att filtrera sand ur vatten?","Filtrering","Destillation","Avdunstning","Kromatografi","Filtrering"
13,"Vad betyder farosymbolen med dödskalle?","Giftigt","Frätande","Explosivt","Brandfarligt","Giftigt"
14,"Varför ska man bära skyddsglasögon i labbet?","För att skydda ögonen från kemikalier","För att se bättre","För att de är snygga","För att följa modet","För att skydda ögonen från kemikalier"
15,"Vad gör man om man spiller syra på huden?","Sköljer med mycket vatten","Torkar bort med papper","Ringer polisen","Lägger på en kompress","Sköljer med mycket vatten"
16,"Vilken gas utgör störst del av luftens sammansättning?","Kväve","Syre","Koldioxid","Väte","Kväve"
17,"Vad händer med gaser när de värms upp?","De expanderar","De krymper","De stelnar","De försvinner","De expanderar"
18,"Vilken egenskap har de flesta metaller?","De leder elektricitet","De är genomskinliga","De avdunstar lätt","De är mjuka som plast","De leder elektricitet"
19,"Vad kallas processen där en metall återvinns ur malm?","Anrikning","Kokning","Kondensering","Emulsion","Anrikning"
20,"Vad kallas processen när vatten övergår från gas till vätska?","Kondensering","Avdunstning","Sublimering","Smältning","Kondensering"
21,"Vilken form har vattenmolekylen?","V-form","Rak linje","Kub","Sfär","V-form"
22,"Vilket pH-värde har en neutral lösning?","7","0","14","10","7"
23,"Vilken färg får BTB i en sur lösning?","Gul","Blå","Grön","Röd","Gul"
24,"Vad bildas vid en neutralisation?","Salt och vatten","Syra och bas","Syre och väte","Eld och rök","Salt och vatten"
25,"Varför är vatten ett bra lösningsmedel?","För att det är polärt","För att det är surt","För att det är ett grundämne","För att det är kallt","För att det är polärt"
26,"Hur mycket av jordens vatten är drickbart?","Mindre än 1 %","10 %","50 %","75 %","Mindre än 1 %"
27,"Vad ingår i kolets kretslopp?","Fotosyntes och cellandning","Kokning och kondensering","Filtrering och destillation","Smältning och avdunstning","Fotosyntes och cellandning"
28,"Vilken gas frigörs vid cellandning?","Koldioxid","Syre","Väte","Kväve","Koldioxid"
29,"Vad är ett miljögift?","Ett ämne som skadar levande organismer","Ett ämne som används i mat","Ett neutralt ämne","Ett färgämne","Ett ämne som skadar levande organismer"
30,"Vilket av följande är ett exempel på ett miljögift?","Kvicksilver","Salt","Koldioxid","Vatten","Kvicksilver"
31,"Varför är det viktigt att återvinna metaller?","För att spara energi och naturresurser","För att det är billigt","För att få nya färger","För att skapa plast","För att spara energi och naturresurser"
32,"Vilket material sorteras i metallåtervinning?","Aluminium","Glas","Papper","Trä","Aluminium"
33,"Vilket av följande är ett fossilt bränsle?","Kol","Vind","Sol","Vatten","Kol"
34,"Varför är förnybara energikällor bättre för miljön?","De släpper inte ut växthusgaser","De är lättare att transportera","De luktar mindre","De är gratis","De släpper inte ut växthusgaser"
35,"Vad är målet med grön kemi?","Att minska miljöpåverkan från kemikalier","Att göra kemikalier grönfärgade","Att ersätta vatten med olja","Att öka produktionen av plaster","Att minska miljöpåverkan från kemikalier"
36,"Vilket av följande är en princip inom grön kemi?","Användning av förnybara råvaror","Användning av tungmetaller","Maximal energiförbrukning","Slumpmässiga reaktioner","Användning av förnybara råvaror"
37,"Vad gör kolatomen speciell i kemin?","Den kan bilda fyra bindningar","Den är tyngst","Den är magnetisk","Den bildar joner lätt","Den kan bilda fyra bindningar"
38,"Vilka grundämnen ingår ofta i organiska ämnen?","Kol, väte, syre","Kväve, helium, neon","Järn, koppar, zink","Vatten, syre, kisel","Kol, väte, syre"
39,"Vilket av följande är ett kolväte?","Metan","Vatten","Koldioxid","Salt","Metan"
40,"Vad används bensin till?","Drivmedel i bilar","Smakförstärkare","Rengöringsmedel","Läkemedel","Drivmedel i bilar"
41,"Vilken alkohol finns i drycker?","Etanol","Metanol","Propanol","Butanol","Etanol"
42,"Vad kännetecknar organiska syror?","De innehåller karboxylgrupp","De är alltid farliga","De smakar sött","De är metaller","De innehåller karboxylgrupp"
43,"Vad används estrar ofta till?","Smak- och doftämnen","Rengöringsmedel","Metallbearbetning","Färgning av kläder","Smak- och doftämnen"
44,"Vad tillverkas plaster oftast av?","Olja","Vatten","Socker","Salt","Olja"
45,"Vad är en nackdel med många plaster?","De bryts ner långsamt i naturen","De leder elektricitet","De kan inte formas","De löses upp i vatten","De bryts ner långsamt i naturen"
46,"Vad behövs för att fotosyntes ska ske?","Koldioxid, vatten och ljus","Syre och väte","Salt och socker","Kväve och vatten","Koldioxid, vatten och ljus"
47,"Vad bildas vid cellandning?","Koldioxid och vatten","Syre och socker","Vatten och kväve","Glukos och syre","Koldioxid och vatten"
