id,question,option1,option2,option3,option4,correctOption
1,"Vilket år började Första världskriget?","1912","1914","1916","1918","1914"
2,"Vilket land tillhörde ärkehertig Franz Ferdinand, vars mord utlöste kriget?","Tyskland","Ryssland","Österrike-Ungern","Frankrike","Österrike-Ungern"
3,"Vilken allians bestod av Tyskland, Österrike-Ungern och Osmanska riket?","Ententen","Centralmakterna","Triple Entente","De allierade","Centralmakterna"
4,"Vad kallades området mellan skyttegravarna?","Ingenmansland","Frontlinjen","Neutrala zonen","Buffertzonen","Ingenmansland"
5,"Vilket nytt vapen användes för första gången i stor skala under Första världskriget?","Automatgevär","Stridsvagnar","Flygplan","Kemiska vapen","Kemiska vapen"
6,"Vilket land lämnade kriget 1917 efter en revolution?","Italien","Ryssland","USA","Japan","Ryssland"
7,"Vilket land gick med i kriget 1917 på Ententens sida?","Kanada","USA","Spanien","Sverige","USA"
8,"Vad hette fredsavtalet som officiellt avslutade Första världskriget?","Freden i Paris","Freden i London","Freden i Versailles","Freden i Wien","Freden i Versailles"
9,"Vilket år slutade Första världskriget?","1917","1918","1919","1920","1918"
10,"Vilken organisation bildades efter kriget för att bevara världsfreden?","Förenta Nationerna","Nationernas Förbund","NATO","Warszawapakten","Nationernas Förbund"
11,"Vilken front var mest känd för sina skyttegravskrig?","Västfronten","Östfronten","Balkanfronten","Italienska fronten","Västfronten"
12,"Vilket land var inte en del av Ententen?","Frankrike","Storbritannien","Italien","Bulgarien","Bulgarien"
13,"Vilken händelse fick USA att gå med i kriget?","Sänkningen av RMS Lusitania","Zimmermann-telegrammet","Sänkningen av Titanic","Attacken på Pearl Harbor","Zimmermann-telegrammet"
14,"Vad var Schlieffenplanen?","En tysk plan för tvåfrontskrig","En brittisk marinblockad","En fransk offensiv strategi","En rysk mobiliseringsplan","En tysk plan för tvåfrontskrig"
15,"Vilket slag stoppade den tyska framryckningen mot Paris 1914?","Slaget vid Somme","Slaget vid Verdun","Slaget vid Marne","Slaget vid Ypres","Slaget vid Marne"
16,"Vilken typ av krigföring ledde till långvariga skyttegravskrig?","Rörligt krig","Blixtkrig","Ställningskrig","Guerrillakrig","Ställningskrig"
17,"Vilket imperium kollapsade efter Första världskriget?","Brittiska imperiet","Osmanska riket","Japanska imperiet","Amerikanska imperiet","Osmanska riket"
18,"Vilket land blev självständigt som ett resultat av kriget?","Polen","Finland","Estland","Alla tre","Alla tre"
19,"Vad var huvudsyftet med Nationernas Förbund?","Att straffa Tyskland","Att förhindra framtida krig","Att dela upp kolonier","Att främja handel","Att förhindra framtida krig"
20,"Vilken term beskriver betalningar för krigsskador som Tyskland tvingades betala?","Reparationer","Sanktioner","Tributer","Skadestånd","Reparationer"
21,"Vilken sjukdom spreds globalt i slutet av kriget och dödade miljontals?","Svarta döden","Spanska sjukan","Asiaten","Hongkonginfluensan","Spanska sjukan"
22,"Vilken brittisk passagerarfärja sänktes av en tysk ubåt 1915?","Titanic","Britannic","Lusitania","Mauretania","Lusitania"
23,"Vilken stad var värd för fredskonferensen efter kriget?","London","Paris","Berlin","Versailles","Paris"
24,"Vilken politisk ideologi spreds i Ryssland som ledde till landets utträde ur kriget?","Fascism","Kommunism","Kapitalism","Socialdemokrati","Kommunism"
25,"Vilken roll hade kvinnor under Första världskriget?","De stannade hemma","De ersatte män i fabriker","De deltog inte","De blev stridspiloter","De ersatte män i fabriker"
26,"Vilka var de bakomliggande orsakerna till Första världskriget?","Imperialism och allianser","Religion och kultur","Teknologi och handel","Miljö och klimat","Imperialism och allianser"
27,"Vad innebar allianssystemet före kriget?","Länder isolerade sig","Länder ingick försvarspakter","Länder avvecklade sina militärer","Länder delade kolonier","Länder ingick försvarspakter"
28,"Vad är militarism?","Nedrustning av militär","När militären styr regeringen","Upprustning och glorifiering av militär styrka","Pacifism och fredsrörelser","Upprustning och glorifiering av militär styrka"
29,"Hur påverkade nationalism krigsutbrottet?","Den minskade spänningarna","Den främjade internationellt samarbete","Den ökade rivaliteten mellan nationer","Den hade ingen påverkan","Den ökade rivaliteten mellan nationer"
30,"Vilket land var involverat i Svarta handen, organisationen bakom mordet på Franz Ferdinand?","Serbien","Grekland","Bulgarien","Rumänien","Serbien"
31,"Hur påverkades civilbefolkningen under kriget?","Inga förändringar","Ransonering och matbrist","Ökad välfärd","De reste mer","Ransonering och matbrist"
32,"Vad var syftet med propagandan under kriget?","Att underhålla","Att desinformera fienden","Att påverka opinionen och öka stödet för kriget","Att avslöja hemligheter","Att påverka opinionen och öka stödet för kriget"
33,"Vilken teknologi revolutionerade sjökriget?","Kanonbåtar","Ubåtar","Hangarfartyg","Radar","Ubåtar"
34,"Vilken medicinsk innovation minskade dödligheten bland sårade soldater?","Antibiotika","Blodtransfusioner","Vitaminer","Röntgenstrålar","Blodtransfusioner"
35,"Hur påverkade kriget Sveriges ekonomi?","Den förbättrades","Den försämrades","Inga förändringar","Sverige deltog inte i handeln","Den förbättrades"
36,"Vilken sida stod Sverige på under kriget?","Ententen","Centralmakterna","Neutralt","Bytte sida under kriget","Neutralt"
37,"Vad var resultatet av Versaillesfreden för Tyskland?","Territoriella förluster och krigsskadestånd","Ökad makt","Inga konsekvenser","Erhöll nya kolonier","Territoriella förluster och krigsskadestånd"
38,"Vilken händelse markerade slutet på den ryska monarkin?","Februarirevolutionen 1917","Oktoberrevolutionen 1917","Ryska inbördeskriget","Tsarens abdikation 1916","Februarirevolutionen 1917"
39,"Vad innebar Brest-Litovsk-fördraget?","Rysslands inträde i kriget","Rysslands utträde ur kriget","Tysklands kapitulation","USA:s inträde i kriget","Rysslands utträde ur kriget"
40,"Hur bidrog kolonier till krigsinsatsen?","De deltog inte","De gav ekonomiskt stöd","De levererade råvaror och soldater","De motarbetade moderländerna","De levererade råvaror och soldater"
41,"Vilken roll hade flygplan under kriget?","Inga, de användes inte","Främst för spaning","Massiva bombningar","Passagerartransport","Främst för spaning"
42,"Vad var tanken bakom Woodrow Wilsons '14 punkter'?","Att förlänga kriget","Att straffa Tyskland hårt","Att skapa en rättvis fred och förebygga framtida krig","Att isolera USA","Att skapa en rättvis fred och förebygga framtida krig"
43,"Vilket slag är känt som det längsta i Första världskriget?","Slaget vid Somme","Slaget vid Verdun","Slaget vid Marne","Slaget vid Gallipoli","Slaget vid Verdun"
44,"Hur förändrades kartan i Europa efter kriget?","Inga förändringar","Fler kolonier i Afrika","Nya länder bildades och imperier föll","Europa blev enat","Nya länder bildades och imperier föll"
45,"Vilken effekt hade kriget på konst och kultur?","Ingen effekt","En blomstrande period","Framväxt av nya rörelser som expressionism och dadaism","Konst förbjöds","Framväxt av nya rörelser som expressionism och dadaism"
46,"Vad var syftet med krigslån som såldes till allmänheten?","Att minska inflationen","Att finansiera krigsinsatsen","Att betala av statsskulden","Att stödja välgörenhet","Att finansiera krigsinsatsen"
47,"Hur påverkade kriget kvinnors rättigheter?","Inga förändringar","De förlorade rättigheter","Främjade kampen för rösträtt och jämställdhet","De blev politiska ledare","Främjade kampen för rösträtt och jämställdhet"
