id,question,option1,option2,option3,option4,correctOption
1,"Vad kännetecknar epoken Romantiken?","Förnuft och logik","Känsla och fantasi","Vetenskapliga framsteg","Optimism inför framtiden","Känsla och fantasi"
2,"Vilket årtal brukar anges som startpunkten för Romantiken?","1760","1700","1840","1600","1760"
3,"Vilken tanke var central i Romantiken?","Allt kan förklaras med vetenskap","Känslor och subjektiva upplevelser är viktigast","Optimism om världens utveckling","Naturen ska kontrolleras av människan","Känslor och subjektiva upplevelser är viktigast"
4,"Vad innebär begreppet eskapism som kopplas till Romantiken?","Att längta bort från vardagen","Att ständigt förbättra verkligheten","Att använda naturresurser effektivt","Att söka efter vetenskapliga förklaringar","Att längta bort från vardagen"
5,"Vilken av följande är en typisk skräckroman från Romantiken?","Den unge Werthers lidanden","Frankenstein","Ivanhoe","Brott och straff","Frankenstein"
6,"Vad är en gotisk roman?","En roman som fokuserar på vetenskapliga upptäckter","En genre som skildrar starka känslor och magiska platser","En historisk roman om verkliga händelser","En roman med övernaturliga inslag och mörka teman","En roman med övernaturliga inslag och mörka teman"
7,"Vilken roll hade naturen i den romantiska litteraturen?","Den var en resurs att användas","Den var en spegel för människans själ","Den var en plats för vetenskapliga framsteg","Den hade ingen central roll","Den var en spegel för människans själ"
8,"Vilken roman gjorde Walter Scott känd?","Den unge Werthers lidanden","Ivanhoe","Brott och straff","Frankenstein","Ivanhoe"
9,"Vad var Romantikens syn på författare?","En blandning av journalist och lärare","Ett geni som kunde känna och se saker som andra inte kunde","En historiker som skildrade verkliga händelser","En vetenskapsman som förklarade världen","Ett geni som kunde känna och se saker som andra inte kunde"
10,"Vem skrev 'Den unge Werthers lidanden'?","Mary Shelley","Walter Scott","Johann Wolfgang von Goethe","Edgar Allan Poe","Johann Wolfgang von Goethe"
11,"Vad var syftet med nationalromantik inom litteraturen?","Att lyfta fram vetenskapliga framsteg","Att hylla nationens historia, kultur och natur","Att beskriva människans inre konflikter","Att skapa framtidsvisioner","Att hylla nationens historia, kultur och natur"
12,"Vilken idé spred sig i Europa under Romantiken och ledde till nya krig?","Liberalism","Nationalism","Socialism","Rationalism","Nationalism"
13,"Vilken genre blev populär under Romantiken och handlar om historiska händelser?","Lyrik","Gotisk roman","Historisk roman","Dadaism","Historisk roman"
14,"Vad handlar Edgar Allan Poes 'För tidigt begravd' om?","En vetenskapsman som skapar liv","En man som vaknar upp i en kista","En riddare som kämpar för sin kärlek","En hjälte som besegrar ondskan","En man som vaknar upp i en kista"
15,"Vilket var Romantikens hjälteideal?","Hjältar som följer sina passioner och ideal","Hjältar som lyder samhällets normer","Hjältar som använder vetenskap för att lösa problem","Hjältar som strävar efter politisk makt","Hjältar som följer sina passioner och ideal"
16,"Vilken roll hade lyrik under Romantiken?","Den var nästan obefintlig","Den passade perfekt för att beskriva mystik och magi","Den var endast kopplad till religiösa teman","Den användes för att beskriva vardagliga problem","Den passade perfekt för att beskriva mystik och magi"
17,"Vad skapade Mary Shelleys 'Frankenstein' för genrer?","Gotisk roman och science fiction","Historisk roman och skräck","Lyrik och surrealism","Romantik och realism","Gotisk roman och science fiction"
18,"Vad var en vanlig kritik mot upplysningen från romantikerna?","Att känslor och fantasi ignorerades","Att vetenskapen inte utvecklades tillräckligt snabbt","Att naturen användes för lite","Att förnuftet var för oviktigt","Att känslor och fantasi ignorerades"
19,"Vilken av följande tankar var en central skillnad mellan Upplysningen och Romantiken?","Optimism om framtiden mot pessimism","Fokus på samhällsproblem mot individualism","Vikten av arv och miljö mot logik","En tro på mystik mot en tro på vetenskap","Optimism om framtiden mot pessimism"
20,"Vad ledde till att Romantiken blev en reaktion mot Upplysningen?","Framväxten av nya politiska ideologier","Förändringarna i Europa under industrialismen och nationalismens framväxt","Utvecklingen av vetenskapliga upptäckter","Avsaknaden av känslor och subjektivitet i litteraturen","Förändringarna i Europa under industrialismen och nationalismens framväxt"
21,"Vad är huvudsyftet med litteraturen under Realismen?","Att beskriva verkligheten så troget som möjligt","Att romantisera historiska händelser","Att undersöka övernaturliga fenomen","Att hylla traditionella normer och värderingar","Att beskriva verkligheten så troget som möjligt"
22,"Vad är Naturalismens huvudsakliga fokus?","Att betona känslor och fantasi","Att skildra människor och samhällen med vetenskaplig precision","Att beskriva hjälteideal och magiska miljöer","Att lyfta fram teknologiska framsteg","Att skildra människor och samhällen med vetenskaplig precision"
23,"Vilka två faktorer anses forma människan enligt Naturalismen?","Utbildning och religion","Arv och miljö","Känslor och logik","Vetenskap och teknologi","Arv och miljö"
24,"Vad var vanliga teman i Realismen?","Magi och eskapism","Vanliga människors liv och samhällsproblem","Nationalism och historiska romaner","Experimentella berättartekniker","Vanliga människors liv och samhällsproblem"
25,"Vilken rysk författare skrev 'Brott och straff'?","Fjodor Dostojevskij","Anton Tjechov","Leo Tolstoj","Nikolaj Gogol","Fjodor Dostojevskij"
26,"Vad handlar 'Brott och straff' om?","En student som mördar en kvinna och brottas med skuld","En föräldralös pojke som växer upp i ett fattighus","En ung kvinna som blir kär i en mystisk godsägare","En revolutionär som leder ett uppror","En student som mördar en kvinna och brottas med skuld"
27,"Vad kännetecknar Naturalismens miljöskildringar?","De fokuserar på idealistiska och vackra miljöer","De beskriver miljöer som påverkar karaktärerna, ofta präglade av fattigdom och sjukdom","De framhäver magiska och fantasifulla landskap","De fokuserar på urbaniseringens framsteg","De beskriver miljöer som påverkar karaktärerna, ofta präglade av fattigdom och sjukdom"
28,"Vilken svensk författare skrev 'Röda rummet' och 'Fröken Julie'?","Selma Lagerlöf","August Strindberg","Fredrika Bremer","Gustaf Fröding","August Strindberg"
29,"Vad var målet med Realismens sociala kritik?","Att glorifiera de rika","Att exponera samhällets orättvisor","Att lyfta fram individens känslor","Att idealisera nationella traditioner","Att exponera samhällets orättvisor"
30,"Vad är typiskt för karaktärerna i Realistisk och Naturalistisk litteratur?","De är ofta idealiserade hjältar","De är vanliga människor med trovärdiga känslor och beteenden","De är magiska varelser och gudar","De är symboler för nationell enhet","De är vanliga människor med trovärdiga känslor och beteenden"
31,"Vilken litterär epok följde direkt efter Romantiken?","Modernismen","Upplysningen","Realismen","Naturalismen","Realismen"
32,"Vad kännetecknar Naturalismens sociala kritik?","Den fokuserade på att idealisera fattiga samhällen","Den beskrev samhällets orättvisor och de svagaste medlemmarnas svårigheter","Den glorifierade teknologiska framsteg","Den undvek kontroversiella ämnen","Den beskrev samhällets orättvisor och de svagaste medlemmarnas svårigheter"
33,"Vilket verk av Charles Dickens beskriver barn som utnyttjas i Londons fattigkvarter?","Brott och straff","Oliver Twist","Jane Eyre","Fröken Julie","Oliver Twist"
34,"Vilken amerikansk författare skrev 'Onkel Toms stuga'?","Mark Twain","Harriet Beecher Stowe","Emily Dickinson","Nathaniel Hawthorne","Harriet Beecher Stowe"
35,"Vad var syftet med Harriet Beecher Stowes 'Onkel Toms stuga'?","Att romantisera slavarnas liv","Att avslöja omänskligheten i slaveriet","Att utforska människans undermedvetna","Att skildra livet på en plantage","Att avslöja omänskligheten i slaveriet"
36,"Vilken svensk författare från Realismen och Naturalismen utmanade sociala orättvisor i sina verk?","Selma Lagerlöf","August Strindberg","Anne-Charlotte Leffler","Victoria Benedictsson","Anne-Charlotte Leffler"
37,"Vilken av följande romaner är en typisk realistisk skildring av en ung kvinnas liv?","Frankenstein","Jane Eyre","Ivanhoe","Förvandlingen","Jane Eyre"
38,"Vad var syftet med Realismens karaktärspsykologi?","Att skapa episka hjältar","Att utforska individens känslor och tankar på ett trovärdigt sätt","Att framhäva nationell stolthet","Att glorifiera aristokratin","Att utforska individens känslor och tankar på ett trovärdigt sätt"
39,"Vad beskriver August Strindbergs 'Fröken Julie'?","En romantisk kärlekshistoria","Ett psykologiskt drama om klass och könsroller","En hjältes kamp mot samhällets orättvisor","En skildring av teknologiska framsteg","Ett psykologiskt drama om klass och könsroller"
40,"Vilken författare kopplas till termen psykologisk realism?","Fjodor Dostojevskij","Charles Dickens","Walter Scott","Johann Wolfgang von Goethe","Fjodor Dostojevskij"
41,"Vad kännetecknar epoken Modernismen?","En stark tro på traditioner och religion","Radikala förändringar i samhället och kritik mot traditionella normer","Romantiska ideal och känslor","Ett fokus på historiska romaner","Radikala förändringar i samhället och kritik mot traditionella normer"
42,"När pågick Modernismen?","1700-talet","1800-talet","Ca 1910–1950","Ca 1950–2000","Ca 1910–1950"
43,"Vilken händelse chockade världen och påverkade Modernismen?","Den industriella revolutionen","Första världskriget","Franska revolutionen","Kalla kriget","Första världskriget"
44,"Vad menas med 'den förlorade generationen'?","En generation som växte upp i fattigdom","Män som överlevde första världskriget och kände hopplöshet","Författare som skrev om utopier","En generation av politiska reformister","Män som överlevde första världskriget och kände hopplöshet"
45,"Vilka teknologiska framsteg påverkade Modernismen?","Vaccin och järnvägar","Telefoner och fabriker","Bilen, radion och flygplanet","Tryckpressen och kameran","Bilen, radion och flygplanet"
46,"Vad är ett vanligt tema i modernistisk litteratur?","Utforskning av existentiella frågor","Hylla samhällets framsteg","Romantiska kärlekshistorier","Idealiserad landsbygd","Utforskning av existentiella frågor"
47,"Vilken författare kopplas till begreppet 'Kafkaesk' och skrev 'Förvandlingen'?","Franz Kafka","Ernest Hemingway","Hermann Hesse","James Joyce","Franz Kafka"
48,"Vad betyder 'Kafkaesk'?","En absurd och mardrömslik känsla","En beskrivning av en vacker miljö","En känsla av romantisk längtan","En realistisk samhällsskildring","En absurd och mardrömslik känsla"
49,"Vad handlar Franz Kafkas 'Processen' om?","En man som blir åtalad för brott utan att veta varför","En student som mördar en kvinna","En kvinnas kamp mot sociala normer","En soldats erfarenheter under krig","En man som blir åtalad för brott utan att veta varför"
50,"Vilken författare utforskade konflikt mellan 'människosjäl' och 'vargsjäl' i 'Stäppvargen'?","Virginia Woolf","Franz Kafka","Hermann Hesse","Karin Boye","Hermann Hesse"
