id;question;option1;option2;option3;option4;correctOption
1;"Vad är den kemiska beteckningen för grundämnet Kol?";"C";"K";"O";"Co";"C"
2;"Vilka bindningar kan kolatomer bilda?";"Endast enkelbindningar";"Enkel- och dubbelbindningar";"Enkel-, dubbel- och trippelbindningar";"Endast trippelbindningar";"Enkel-, dubbel- och trippelbindningar"
3;"Vilken form av kol är världens hårdaste material?";"Grafit";"Diamant";"Fulleren";"Grafen";"Diamant"
4;"Vad består kolväten av?";"Kol och syre";"Kol och väte";"Kol och kväve";"Kol, väte och syre";"Kol och väte"
5;"Vilket kolväte har summaformeln CH4?";"Metan";"Etan";"Propan";"Butan";"Metan"
6;"Vilket av följande är ett fossilt bränsle?";"Biogas";"Naturgas";"Ved";"Solenergi";"Naturgas"
7;"Vad betyder det att ett kolväte är omättat?";"Det innehåller bara enkelbindningar";"Det innehåller dubbel eller trippelbindningar";"Det innehåller inga kolatomer";"Det innehåller syreatomer";"Det innehåller dubbel eller trippelbindningar"
8;"Vilken funktionell grupp kännetecknar alkoholer?";"COOH";"OH";"CH3";"NH2";"OH"
9;"Vilken alkohol kallas också för träsprit?";"Etanol";"Propanol";"Metanol";"Butanol";"Metanol"
10;"Vilken ester luktar banan?";"Etylacetat";"Iso-pentanol + ättiksyra";"Metanol + myrsyra";"Propanol + smörsyra";"Iso-pentanol + ättiksyra"
11;"Varför reagerar omättade kolväten lättare än mättade kolväten?";"De har fler bindningar";"De har dubbel- eller trippelbindningar som är instabila";"De är mindre stabila på grund av syreatomer";"De har längre kolkedjor";"De har dubbel- eller trippelbindningar som är instabila"
12;"Hur påverkar kolvätekedjans längd ett ämnes kokpunkt?";"Längre kedjor ger högre kokpunkt";"Längre kedjor ger lägre kokpunkt";"Kedjans längd påverkar inte kokpunkten";"Kokpunkten är alltid densamma för alla kolväten";"Längre kedjor ger högre kokpunkt"
13;"Vilken funktion har aktivt kol i sjukvården?";"Avlägsnar bakterier";"Binder farliga ämnen vid förgiftning";"Renar vatten";"Underlättar matsmältning";"Binder farliga ämnen vid förgiftning"
14;"Vad är syftet med fraktionerad destillation?";"Separera olika kolväten baserat på kokpunkt";"Tillverka nya kolväten";"Lagra fossila bränslen";"Blanda olika kolväten för bränslen";"Separera olika kolväten baserat på kokpunkt"
15;"Vilken av följande energikällor bidrar inte till växthuseffekten?";"Biogas";"Naturgas";"Olja";"Kol";"Biogas"
16;"Varför bör användningen av fossila bränslen minska?";"De tar aldrig slut";"De bidrar till förstärkt växthuseffekt och miljöproblem";"De är billiga men ineffektiva";"De är förnybara";"De bidrar till förstärkt växthuseffekt och miljöproblem"
17;"Vilken produkt från råolja var viktigast under början av 1900-talet?";"Asfalt";"Fotogen";"Bensin";"Diesel";"Fotogen"
18;"Vilka är de fyra första kolvätena i metanserien?";"Metan, etan, propan, butan";"Metan, etyn, propan, butan";"Etan, propan, butan, pentan";"Metan, eten, etyn, butan";"Metan, etan, propan, butan"
19;"Vad är skillnaden mellan en tvåvärd och en trevärd alkohol?";"Antalet OH-grupper i molekylen";"Antalet kolatomer i molekylen";"Antalet dubbelbindningar";"Antalet väteatomer";"Antalet OH-grupper i molekylen"
20;"Vad bildas alltid när en organisk syra reagerar med en alkohol?";"En ester och koldioxid";"En ester och vatten";"En syra och alkohol";"En syra och vatten";"En ester och vatten"
21;"Rita strukturformeln för en omättad kolvätemolekyl med 4 kolatomer och en dubbelbindning.";"CH3-CH=CH-CH3";"CH2=CH-CH2-CH2";"CH3-CH=CH2";"CH4-CH=CH-CH3";"CH3-CH=CH-CH3"
22;"Föreslå ett experiment för att visa skillnaden mellan ett mättat och ett omättat kolväte.";"Testa reaktionen med bromvatten";"Mät kokpunkten";"Studera färgen";"Testa lösligheten i vatten";"Testa reaktionen med bromvatten"
23;"Hur kan du avgöra om ett ämne innehåller kolatomer i ett laboratorium?";"Testa om ämnet brinner och bildar koldioxid";"Mät dess kokpunkt";"Lös det i vatten";"Tillsätt syra och mät pH";"Testa om ämnet brinner och bildar koldioxid"
24;"Beskriv hur du kan använda fraktionerad destillation för att separera en blandning av metan och propan.";"Använd deras olika kokpunkter";"Använd deras olika densitet";"Använd deras löslighet i vatten";"Använd deras syreinnehåll";"Använd deras olika kokpunkter"
25;"Diskutera fördelar och nackdelar med att använda biobränslen istället för fossila bränslen.";"Biobränslen är billigare";"Biobränslen bidrar inte till växthuseffekten men kräver mycket odlingsmark";"Biobränslen är mer effektiva";"Fossila bränslen är mer hållbara";"Biobränslen bidrar inte till växthuseffekten men kräver mycket odlingsmark"
26;"Kan vi ersätta alla fossila bränslen med förnybara energikällor? Diskutera möjligheter och utmaningar.";"Ja, men det kräver stora investeringar";"Nej, förnybara energikällor är för ineffektiva";"Ja, det är redan möjligt idag";"Nej, fossila bränslen är nödvändiga för plastproduktion";"Ja, men det kräver stora investeringar"
27;"Varför är etanol lösligt i vatten, men pentanol är inte det?";"Etanol har en kortare kolkedja som inte stör OH-gruppen";"Pentanol har en längre OH-grupp";"Pentanol har fler väteatomer";"Etanol har högre densitet";"Etanol har en kortare kolkedja som inte stör OH-gruppen"
28;"Förklara varför plaster är så användbara trots deras miljöpåverkan.";"De är billiga att tillverka och mångsidiga";"De är miljövänliga och hållbara";"De är återvinningsbara och starka";"De är lätta att bryta ner i naturen";"De är billiga att tillverka och mångsidiga"
29;"Hur kan nanoteknik förändra vår användning av material som grafen?";"Genom att skapa starkare och lättare material";"Genom att ersätta kolväten i bränslen";"Genom att eliminera behovet av diamanter";"Genom att minska koldioxidutsläpp";"Genom att skapa starkare och lättare material"
30;"Vad är fossila bränslen och hur har de bildats?";"De är naturliga ämnen som bildats av döda växter och djur under miljontals år";"De är syntetiska ämnen skapade av människor";"De bildas av mineraler i jordskorpan";"De är endast gaser";"De är naturliga ämnen som bildats av döda växter och djur under miljontals år"
31;"Vad är skillnaden mellan fossila bränslen och biobränslen?";"Fossila bränslen är förnybara medan biobränslen är icke-förnybara";"Fossila bränslen släpper ut gammal koldioxid medan biobränslen släpper ut modern koldioxid";"Det finns ingen skillnad";"Biobränslen är alltid gaser";"Fossila bränslen släpper ut gammal koldioxid medan biobränslen släpper ut modern koldioxid"
32;"Hur kan man separera olika kolväten i råolja?";"Genom fraktionerad destillation";"Genom elektrolys";"Genom att lösa upp dem i vatten";"Genom centrifugering";"Genom fraktionerad destillation"
33;"Varför bör användningen av fossila bränslen minska?";"De bidrar till växthuseffekten och är icke-förnybara";"De är förnybara men skadar ozonlagret";"De är för dyra att producera";"De skadar inte miljön men är svåra att använda";"De bidrar till växthuseffekten och är icke-förnybara"
34;"Vad är organisk kemi?";"Studien av kemiska föreningar som innehåller kol";"Studien av metallföreningar";"Studien av syror och baser";"Studien av kemiska föreningar utan kol";"Studien av kemiska föreningar som innehåller kol"
35;"Vilka former av rent kol finns det?";"Grafit, diamant, fulleren och grafen";"Diamant och blyertspenna";"Fulleren och amorft kol";"Grafit och papper";"Grafit, diamant, fulleren och grafen"
36;"Vad är skillnaden mellan amorft kol och andra former av kol?";"Amorft kol saknar en regelbunden struktur";"Amorft kol är starkare än diamant";"Amorft kol leder elektricitet bättre än grafit";"Amorft kol är genomskinligt";"Amorft kol saknar en regelbunden struktur"
37;"Vad är kolväten?";"Föreningar av kol och väte";"Föreningar av kol och syre";"Föreningar av kol och kväve";"Föreningar av kol och klor";"Föreningar av kol och väte"
38;"Vilka är de fyra enklaste kolvätena?";"Metan, etan, propan och butan";"Metan, eten, etyn och propyn";"Etan, propan, butan och pentan";"Metan, metanol, metansyra och metyl";"Metan, etan, propan och butan"
39;"Vilken atomgrupp finns alltid i alkoholer?";"OH-gruppen";"COOH-gruppen";"CH3-gruppen";"NH2-gruppen";"OH-gruppen"
40;"Vad är en ester och vad används den till?";"En förening mellan en organisk syra och en alkohol som används i smaker och dofter";"En typ av kolväte som används som bränsle";"En förening mellan två alkoholer som används i plast";"En typ av syra som används i kemiska processer";"En förening mellan en organisk syra och en alkohol som används i smaker och dofter"
41;"Vilken var den viktigaste produkten från oljan i början av 1900-talet och hur påverkade den människors liv?";"Fotogen, som användes för belysning";"Bensin, som användes i bilar";"Asfalt, som användes för vägbyggen";"Plast, som användes i hushåll";"Fotogen, som användes för belysning"
42;"Vad är syntetiska diamanter?";"Diamanter som tillverkas i laboratorium";"Diamanter som hittas i naturen";"Diamanter gjorda av grafit";"Diamanter som är mindre hårda än naturliga";"Diamanter som tillverkas i laboratorium"
43;"Vad är organisk kemi?";"Vetenskapen om kolföreningar";"Studiet av kemiska reaktioner i luft";"Läran om metaller";"Vetenskapen om atomer";"Vetenskapen om kolföreningar"
44;"Vilka är de fyra formerna av rent kol?";"Grafit, diamant, fulleren och grafen";"Grafit, träkol, diamant och aktivt kol";"Grafit, träkol, amorft kol och grafen";"Grafit, diamant, koks och amorft kol";"Grafit, diamant, fulleren och grafen"
45;"Vad är metanserien?";"En serie av kolväten ordnade efter antal kolatomer";"En lista över olika bindningstyper";"Ett annat namn för plast";"En lista över alkoholer";"En serie av kolväten ordnade efter antal kolatomer"
