id,question,option1,option2,option3,option4,correctOption
1,Vad är den minsta enheten i ett grundämne som fortfarande behåller dess egenskaper?,Molekyl,Atom,Elektron,Proton,Atom
2,Vad är vatten gjort av?,Syre och kol,Väte och syre,Kväve och syre,Väte och kväve,Väte och syre
3,Vad är den kemiska formeln för vatten?,CO₂,H₂O,O₂,NaCl,H₂O
4,Vad kallas det när två eller flera atomer binds samman?,Molekyl,Atom,Grundämne,Jon,Molekyl
5,Vilken partikel i atomen har en negativ laddning?,Proton,Neutron,Elektron,Nukleon,Elektron
6,Vad är en kemisk reaktion?,När ämnen ändrar färg,När ämnen blandas utan att förändras,När ämnen förändras och bildar nya ämnen,När ämnen kyls ner,När ämnen förändras och bildar nya ämnen
7,Vad händer när du blandar bakpulver och vinäger?,Ingenting händer,Det blir kallt,Det bildas gas och bubblor,Det blir till is,Det bildas gas och bubblor
8,Vad är ett grundämne?,En blandning av olika molekyler,Ett ämne som består av en sorts atomer,En vätska,En gas,Ett ämne som består av en sorts atomer
9,Vad visar det periodiska systemet?,Planeterna i solsystemet,Alla djurarter,Alla grundämnen,Väderförändringar,Alla grundämnen
10,Vad kallas de tre tillstånden som ämnen kan befinna sig i?,"Fast, flytande, gas","Hård, mjuk, flytande","Kall, varm, het","Stor, liten, medel","Fast, flytande, gas"
