id,question,option1,option2,option3,option4,correctOption
1,"Vad är den primära orsaken till att ljud bildas?","Lufttryck","Vibrationer","Elektromagnetism","Kemiska reaktioner","Vibrationer"
2,"Hur fortplantar sig ljud genom luften från en ljudkälla?","Linjärt i en riktning","Som koncentriska vibrationer","Oregelbundet och slumpmässigt","Endast i slutna rum","Som koncentriska vibrationer"
3,"Vad händer med ljudvågor när de träffar ett hinder?","De absorberas alltid","De fortsätter oförändrat","De kan reflekteras och skapa ett eko","De omvandlas till ljus","De kan reflekteras och skapa ett eko"
4,"I vilket material färdas ljud snabbast?","Luft","Vatten","Betong","Vakuum","Betong"
5,"Vad kännetecknar en förtätning i en ljudvåg?","Lågt lufttryck","Hög temperatur","Tätare packade luftmolekyler","Färre luftmolekyler","Tätare packade luftmolekyler"
6,"Vad kännetecknar en förtunning i en ljudvåg?","Högt lufttryck","Låg temperatur","Glesare packade luftmolekyler","Inga luftmolekyler","Glesare packade luftmolekyler"
7,"Hur påverkas ljudvågor när de färdas genom ett stetoskop?","De förstärks elektroniskt","De hålls samman och försvagas mindre","De omvandlas till elektriska signaler","De filtreras från bakgrundsljud","De hålls samman och försvagas mindre"
8,"Vilken effekt har avståndet från ljudkällan på ljudvågorna?","De blir starkare","De ändrar frekvens","De blir svagare","De påverkas inte","De blir svagare"
9,"Vad visualiserar ett oscilloskop när det används för att studera ljud?","Ljudets hastighet","Ljudvågornas frekvens och amplitud","Ljudets källa","Ljudets färg","Ljudvågornas frekvens och amplitud"
10,"Hur representeras en förtätning på ett oscilloskop?","Som en vågdal","Som en vågtopp","Som en rak linje","Som en prick","Som en vågtopp"
11,"Hur representeras en förtunning på ett oscilloskop?","Som en vågtopp","Som en vågdal","Som en diffus linje","Som ett tomrum","Som en vågdal"
12,"Vad omvandlar en mikrofon till elektriska signaler?","Ljus","Värme","Ljud","Magnetism","Ljud"
13,"Vad menas med frekvens i samband med ljudvågor?","Ljudets styrka","Antalet vågtoppar per sekund","Ljudets färg","Ljudets hastighet","Antalet vågtoppar per sekund"
14,"Vilken enhet används för att mäta frekvens?","Decibel (dB)","Hertz (Hz)","Pascal (Pa)","Volt (V)","Hertz (Hz)"
15,"Vad händer med frekvensen när tonen blir ljusare?","Den minskar","Den ökar","Den förblir oförändrad","Den blir oregelbunden","Den ökar"
16,"Hur påverkar frekvensen vår uppfattning av ljud?","Den avgör ljudstyrkan","Den avgör om ljudet upplevs som ljust eller mörkt","Den påverkar ljudets klang","Den påverkar hur snabbt ljudet färdas","Den avgör om ljudet upplevs som ljust eller mörkt"
17,"Vad innebär resonans inom akustik?","Reflektion av ljudvågor","Absorption av ljudvågor","Förstärkning av ljud genom vibration","Utjämning av ljudnivåer","Förstärkning av ljud genom vibration"
